Postcode,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021
RG20BS,51.432178,-0.971735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6502,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177279
RG20BT,51.441812,-0.972331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5882,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20BU,51.439653,-0.969156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4721,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20BW,51.442693,-0.972268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6778,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20BX,51.443841,-0.972976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7703,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20BY,51.445749,-0.975221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8918,E01016391,Reading 020E,E02006940,Central Reading South,E00082798
RG20BZ,51.441544,-0.971488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5876,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20DA,51.419553,-0.972708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3714,E01016439,Reading 018C,E02003406,Whitley Wood,E00177356
RG20DB,51.419537,-0.970911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4273,E01016439,Reading 018C,E02003406,Whitley Wood,E00177356
RG20DD,51.440696,-0.971205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.512,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20DE,51.419017,-0.972116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3375,E01016439,Reading 018C,E02003406,Whitley Wood,E00177356
RG20DF,51.419138,-0.970589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3983,E01016439,Reading 018C,E02003406,Whitley Wood,E00177356
RG20DH,51.445219,-0.972269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9293,E01016374,Reading 014A,E02003402,Southampton Street & Redlands Road,E00082734
RG20DJ,51.445661,-0.97141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9997,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082735
RG20DL,51.44184,-0.970431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6497,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20DN,51.441005,-0.968521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.626,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082737
RG20DP,51.440122,-0.968311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.545,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082739
RG20DQ,51.446975,-0.97256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0953,E01016374,Reading 014A,E02003402,Southampton Street & Redlands Road,E00082729
RG20DR,51.440407,-0.968003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5828,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082739
RG20DT,51.441019,-0.967068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6727,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082739
RG20DU,51.441908,-0.966918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7656,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082739
RG20DX,51.442815,-0.966768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8603,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082738
RG20DY,51.437846,-0.967111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3568,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20DZ,51.445086,-0.971301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9457,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082715
RG20EB,51.443585,-0.971499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7902,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082715
RG20EE,51.439116,-0.973542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.2826,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082742
RG20EG,51.445411,-0.965236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1657,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082732
RG20EH,51.444729,-0.966639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0543,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082733
RG20EJ,51.444191,-0.966824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9952,E01016375,Reading 014B,E02003402,Southampton Street & Redlands Road,E00082733
RG20EL,51.44222,-0.965395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8441,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082738
RG20EN,51.440399,-0.966075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.6423,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082741
RG20EP,51.441275,-0.964501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7784,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082736
RG20EQ,51.444503,-0.965343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0722,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082732
RG20ER,51.439769,-0.966981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5515,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082741
RG20ES,51.441527,-0.966539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7396,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082739
RG20ET,51.440265,-0.967229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5929,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082741
RG20EU,51.439776,-0.965815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5887,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082740
RG20EW,51.441823,-0.964446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.8344,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082736
RG20EX,51.439121,-0.964895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5527,E01016376,Reading 014C,E02003402,Southampton Street & Redlands Road,E00082740
RG20EY,51.438989,-0.966294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4957,E01016377,Reading 017C,E02003405,Kennet Island & Green Park,E00082741
RG20FB,51.431561,-0.971252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6042,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177279
RG20FL,51.422325,-0.983497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3055,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177353
RG20FN,51.421744,-0.981827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2999,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177353
RG20FP,51.430782,-0.973686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4507,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177308
RG20FS,51.430777,-0.973967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4414,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177308
RG20FT,51.431611,-0.973912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5258,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177308
RG20FU,51.433876,-0.97571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.6947,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00177302
RG20FW,51.430468,-0.973851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4144,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20FX,51.430943,-0.974496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4413,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177308
RG20FY,51.43001,-0.974854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3376,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174550
RG20FZ,51.429989,-0.973545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3765,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177308
RG20GA,51.428494,-0.975097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1797,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177242
RG20GB,51.428767,-0.974487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2259,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177350
RG20GD,51.428838,-0.975363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2055,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177242
RG20GE,51.428929,-0.974526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2407,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177350
RG20GF,51.429374,-0.974091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2985,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20GG,51.417631,-0.974074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1382,E01016439,Reading 018C,E02003406,Whitley Wood,E00177356
RG20GH,51.43043,-0.977649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2922,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177242
RG20GJ,51.429311,-0.975114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2602,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177350
RG20GN,51.429311,-0.975114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.2602,E01033858,Reading 017H,E02003405,Kennet Island & Green Park,E00177350
RG20GP,51.429759,-0.973896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3427,E01033857,Reading 017G,E02003405,Kennet Island & Green Park,E00174529
RG20GQ,51.430527,-0.97641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3403,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174550
RG20GR,51.431194,-0.976669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3985,E01033859,Reading 017I,E02003405,Kennet Island & Green Park,E00174534
